name,lat,lng,type,address,postal_code
MATTAR MRT STATION (DT25),1.326877,103.883248,MRT,60 MERPATI ROAD MATTAR MRT STATION (DT25) SINGAPORE 379314,379314
DAKOTA MRT STATION,1.308431,103.889268,MRT,201 OLD AIRPORT ROAD DAKOTA MRT STATION,NIL
MOUNTBATTEN MRT STATION,1.306154,103.883045,MRT,301 MOUNTBATTEN ROAD MOUNTBATTEN MRT STATION,NIL
STADIUM MRT STATION (CC6),1.302812,103.875338,MRT,3 STADIUM WALK STADIUM MRT STATION (CC6) SINGAPORE 397692,397692
NICOLL HIGHWAY MRT STATION (CC5),1.299767,103.863637,MRT,20 REPUBLIC AVENUE NICOLL HIGHWAY MRT STATION (CC5) SINGAPORE 038970,038970
PROMENADE MRT STATION (CC4),1.293998,103.86035,MRT,2 TEMASEK AVENUE PROMENADE MRT STATION (CC4) SINGAPORE 039193,039193
BAYFRONT MRT STATION (DT16 / CE1),1.281874,103.85908,MRT,11 BAYFRONT AVENUE BAYFRONT MRT STATION (DT16 / CE1) SINGAPORE 018957,018957
DOWNTOWN MRT STATION (DT17),1.279446,103.852841,MRT,15 CENTRAL BOULEVARD DOWNTOWN MRT STATION (DT17) SINGAPORE 018969,018969
TELOK AYER MRT STATION (DT18),1.282069,103.848649,MRT,7 CROSS STREET TELOK AYER MRT STATION (DT18) SINGAPORE 048416,048416
CHINATOWN MRT STATION,1.283964,103.843142,MRT,151 NEW BRIDGE ROAD CHINATOWN MRT STATION,NIL
FORT CANNING MRT STATION (DT20),1.292482,103.844331,MRT,170 RIVER VALLEY ROAD FORT CANNING MRT STATION (DT20) SINGAPORE 179038,179038
BENCOOLEN MRT STATION (DT21),1.298918,103.850354,MRT,31 BENCOOLEN STREET BENCOOLEN MRT STATION (DT21) SINGAPORE 189658,189658
JALAN BESAR MRT STATION (DT22),1.305171,103.855296,MRT,90 JALAN BESAR JALAN BESAR MRT STATION (DT22) SINGAPORE 208826,208826
ROCHOR MRT STATION (DT13),1.303852,103.852769,MRT,11 ROCHOR CANAL ROAD ROCHOR MRT STATION (DT13) SINGAPORE 188505,188505
LITTLE INDIA MRT STATION,1.307244,103.849842,MRT,60 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION,NIL
FARRER PARK MRT STATION,1.31314,103.854755,MRT,250 RACE COURSE ROAD FARRER PARK MRT STATION,NIL
BOON KENG MRT STATION,1.31994,103.862053,MRT,900 SERANGOON ROAD BOON KENG MRT STATION,NIL
HOUGANG MRT STATION,1.370335,103.892262,MRT,80 HOUGANG CENTRAL HOUGANG MRT STATION,NIL
BUANGKOK MRT STATION,1.383694,103.89305,MRT,10 SENGKANG CENTRAL BUANGKOK MRT STATION,NIL
SENGKANG MRT STATION (NE16),1.391695,103.895485,MRT,5 SENGKANG SQUARE SENGKANG MRT STATION (NE16) SINGAPORE 545062,545062
PUNGGOL COAST MRT STATION (NE18),1.414927,103.910166,MRT,101 NEW PUNGGOL ROAD PUNGGOL COAST MRT STATION (NE18) SINGAPORE 828604,828604
BRAS BASAH MRT STATION (CC2),1.296862,103.850667,MRT,65 BRAS BASAH ROAD BRAS BASAH MRT STATION (CC2) SINGAPORE 189561,189561
CITY HALL/ESPLANADE MRT STATION EXIT A,1.29134,103.854609,MRT,CITY HALL/ESPLANADE MRT STATION EXIT A,NIL
TAMPINES WEST MRT STATION (DT31),1.345515,103.938437,MRT,2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683,529683
UPPER CHANGI MRT STATION (DT34),1.34174,103.961473,MRT,690 UPPER CHANGI ROAD EAST UPPER CHANGI MRT STATION (DT34) SINGAPORE 485990,485990
PASIR RIS EAST MRT STATION (CR4),1.367129,103.960557,MRT,20 PASIR RIS DRIVE 1 PASIR RIS EAST MRT STATION (CR4) SINGAPORE 519969,519969
WOODLANDS NORTH MRT STATION (TE1),1.448292,103.785693,MRT,20 WOODLANDS NORTH COAST ROAD WOODLANDS NORTH MRT STATION (TE1) SINGAPORE 737668,737668
WOODLANDS SOUTH MRT STATION (TE3),1.427396,103.793264,MRT,30 WOODLANDS DRIVE 17 WOODLANDS SOUTH MRT STATION (TE3) SINGAPORE 737741,737741
KING ALBERT PARK MRT STATION,1.335893,103.783236,MRT,2 BLACKMORE DRIVE KING ALBERT PARK MRT STATION,NIL
SIXTH AVENUE MRT STATION (DT7),1.330858,103.796907,MRT,777 BUKIT TIMAH ROAD SIXTH AVENUE MRT STATION (DT7) SINGAPORE 269784,269784
TAN KAH KEE MRT STATION,1.326392,103.806548,MRT,651 BUKIT TIMAH ROAD TAN KAH KEE MRT STATION,NIL
HILLVIEW MRT STATION,1.362888,103.767781,MRT,510 UPPER BUKIT TIMAH ROAD HILLVIEW MRT STATION,NIL
CASHEW MRT STATION,1.369846,103.764315,MRT,1 CASHEW ROAD CASHEW MRT STATION,NIL
BEAUTY WORLD MRT STATION,1.340901,103.775747,MRT,101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION,NIL
HUME MRT STATION (DT4),1.354595,103.769119,MRT,371 UPPER BUKIT TIMAH ROAD HUME MRT STATION (DT4) SINGAPORE 589681,589681
BUKIT PANJANG LRT STATION (BP6),1.377927,103.763103,LRT,11 PETIR ROAD BUKIT PANJANG LRT STATION (BP6) SINGAPORE 678268,678268
SENJA LRT STATION (BP13),1.382725,103.762344,LRT,90 BUKIT PANJANG RING ROAD SENJA LRT STATION (BP13) SINGAPORE 679942,679942
JELAPANG LRT STATION (BP12),1.386739,103.764534,LRT,70 BUKIT PANJANG RING ROAD JELAPANG LRT STATION (BP12) SINGAPORE 679941,679941
PETIR LRT STATION (BP7),1.377772,103.766646,LRT,31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269,678269
PENDING LRT STATION (BP8),1.376136,103.771261,LRT,9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296,678296
BANGKIT LRT STATION (BP9),1.380022,103.772647,LRT,20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939,679939
FAJAR LRT STATION (BP10),1.384573,103.770887,LRT,40 FAJAR ROAD FAJAR LRT STATION (BP10) SINGAPORE 679004,679004
BUKIT PANJANG MRT STATION,1.379561,103.761189,MRT,950 UPPER BUKIT TIMAH ROAD BUKIT PANJANG MRT STATION,NIL
SENGKANG LRT STATION (STC),1.391609,103.895443,LRT,5 SENGKANG SQUARE SENGKANG LRT STATION (STC) SINGAPORE 545062,545062
COMPASSVALE LRT STATION (SE1),1.394493,103.900492,LRT,10 COMPASSVALE STREET COMPASSVALE LRT STATION (SE1) SINGAPORE 545055,545055
