name,lat,lng,address
TELOK BLANGAH FOOD CENTRE,1.273356,103.807618,79 TELOK BLANGAH DRIVE TELOK BLANGAH FOOD CENTRE SINGAPORE 100079
TIONG BAHRU FOOD CENTRE,1.281449,103.823213,1091A LOWER DELTA ROAD TIONG BAHRU FOOD CENTRE SINGAPORE 169207
BROADWAY FOOD CENTRE,1.331894,103.867854,147 POTONG PASIR AVENUE 1 BROADWAY FOOD CENTRE SINGAPORE 350147
DUNMAN FOOD CENTRE SOLID DIVERTOR,1.309461,103.901831,271 ONAN ROAD DUNMAN FOOD CENTRE SOLID DIVERTOR
PASIR PANJANG FOOD CENTRE,1.275918,103.791411,121 PASIR PANJANG ROAD PASIR PANJANG FOOD CENTRE SINGAPORE 118543
ADMIRALTY WET MARKET & FOOD CENTRE,1.440364,103.801537,678A WOODLANDS AVENUE 6 ADMIRALTY WET MARKET & FOOD CENTRE
AMOY STREET FOOD CENTRE,1.27934,103.846652,7 MAXWELL ROAD AMOY STREET FOOD CENTRE
QUALITY ROAD FOOD CENTRE,1.333252,103.710477,45 QUALITY ROAD QUALITY ROAD FOOD CENTRE
FC,1.4657,103.811767,11 SENOKO WAY FC
FC/MARKET,1.319317,103.896128,30 EUNOS ROAD 5 FC/MARKET
KEBUN BARU FOOD CENTRE,1.367179,103.840158,226H ANG MO KIO STREET 22 KEBUN BARU FOOD CENTRE
KUKOH 21 FOOD CENTRE,1.288252,103.83994,1 JALAN KUKOH KUKOH 21 FOOD CENTRE
TOA PAYOH FOOD CENTRE II,1.343292,103.846449,1008A TOA PAYOH NORTH TOA PAYOH FOOD CENTRE II
AYER RAJAH FOOD CENTRE 3,1.2935,103.788523,51A AYER RAJAH CRESCENT AYER RAJAH FOOD CENTRE 3 SINGAPORE 139956
BLK 210 LORONG 8 TOA PAYOH MARKET & FOOD CENTRE,1.340216,103.854873,210 LORONG 8 TOA PAYOH BLK 210 LORONG 8 TOA PAYOH MARKET & FOOD CENTRE SINGAPORE 310210
CHONG PANG MARKET & FOOD CENTRE,1.431718,103.828114,105 YISHUN RING ROAD CHONG PANG MARKET & FOOD CENTRE SINGAPORE 760105
ABC BRICKWORKS MARKET & FOOD CENTRE,1.286883,103.808131,6 JALAN BUKIT MERAH ABC BRICKWORKS MARKET & FOOD CENTRE SINGAPORE 150006
ADAM ROAD FOOD CENTRE,1.324083,103.814182,2 ADAM ROAD ADAM ROAD FOOD CENTRE
BUKIT MERAH CENTRAL FOOD CENTRE,1.283702,103.81695,163 BUKIT MERAH CENTRAL BUKIT MERAH CENTRAL FOOD CENTRE
IKEA FOOD CENTRE,1.287974,103.805809,317 ALEXANDRA ROAD IKEA FOOD CENTRE
MKT/FC,1.348187,103.743947,156 BUKIT BATOK STREET 11 MKT/FC
MARKET & FOOD CENTRE,1.399481,103.906393,198 PUNGGOL FIELD MARKET & FOOD CENTRE
MARSILING LANE MARKET & COOKED FOOD CENTRE,1.443925,103.777202,21 MARSILING LANE MARSILING LANE MARKET & COOKED FOOD CENTRE SINGAPORE 730021
PEK KIO MARKET & FOOD CENTRE,1.316131,103.850233,41A CAMBRIDGE ROAD PEK KIO MARKET & FOOD CENTRE SINGAPORE 211041
KEBUN BARU MARKET AND FOOD CENTRE,1.36681,103.839143,226D ANG MO KIO AVENUE 1 KEBUN BARU MARKET AND FOOD CENTRE
SEMBAWANG HILLS FOOD CENTRE,1.372319,103.829018,590 UPPER THOMSON ROAD SEMBAWANG HILLS FOOD CENTRE SINGAPORE 574419
TAMAN JURONG MARKET & FOOD CENTRE,1.334721,103.721584,3 YUNG SHENG ROAD TAMAN JURONG MARKET & FOOD CENTRE SINGAPORE 618499
TEMPORARY FOOD CENTRE,1.300429,103.787234,11A NEPAL CIRCUS TEMPORARY FOOD CENTRE SINGAPORE 138660
TOA PAYOH WEST MARKET AND FOOD COURT,1.338104,103.844733,127 LORONG 1 TOA PAYOH TOA PAYOH WEST MARKET AND FOOD COURT SINGAPORE 310127
BOON LAY PLACE MARKET AND FOOD VILLAGE,1.345761,103.713084,221B BOON LAY PLACE BOON LAY PLACE MARKET AND FOOD VILLAGE SINGAPORE 642221
HONG LIM FOOD CENTRE AND MARKET,1.285324,103.845777,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET
MARINE PARADE CENTRAL MARKET AND FOOD CENTRE,1.302285,103.906289,84 MARINE PARADE CENTRAL MARINE PARADE CENTRAL MARKET AND FOOD CENTRE
MEI LING MARKET AND FOOD CENTRE,1.293236,103.802904,159 MEI CHIN ROAD MEI LING MARKET AND FOOD CENTRE
